epoch: 1/400, train_loss: 0.5760, train_acc: 0.7484, test_loss: 0.5615, test_acc: 0.7520 
epoch: 2/400, train_loss: 0.5672, train_acc: 0.7491, test_loss: 0.5636, test_acc: 0.7520 
epoch: 3/400, train_loss: 0.5665, train_acc: 0.7492, test_loss: 0.5652, test_acc: 0.7520 
epoch: 4/400, train_loss: 0.5607, train_acc: 0.7492, test_loss: 0.7333, test_acc: 0.2599 
epoch: 5/400, train_loss: 0.5395, train_acc: 0.7528, test_loss: 0.7098, test_acc: 0.4221 
epoch: 1/300, train_loss: 0.5573, train_acc: 0.7494, test_loss: 0.5484, test_acc: 0.7538, time: 277.211302042s 
epoch: 2/300, train_loss: 0.5282, train_acc: 0.7549, test_loss: 0.5527, test_acc: 0.7163, time: 133.610825062s 
epoch: 3/300, train_loss: 0.5030, train_acc: 0.7768, test_loss: 0.5101, test_acc: 0.7761, time: 133.260601044s 
epoch: 4/300, train_loss: 0.4826, train_acc: 0.7910, test_loss: 0.5325, test_acc: 0.7536, time: 132.736664057s 
epoch: 5/300, train_loss: 0.4643, train_acc: 0.8018, test_loss: 0.5584, test_acc: 0.7449, time: 132.141139984s 
epoch: 6/300, train_loss: 0.4526, train_acc: 0.8085, test_loss: 0.6626, test_acc: 0.6638, time: 131.832746983s 
epoch: 7/300, train_loss: 0.4414, train_acc: 0.8160, test_loss: 0.5363, test_acc: 0.7626, time: 132.931858063s 
epoch: 8/300, train_loss: 0.4348, train_acc: 0.8201, test_loss: 0.4832, test_acc: 0.7822, time: 132.579689026s 
epoch: 9/300, train_loss: 0.4257, train_acc: 0.8226, test_loss: 0.5653, test_acc: 0.7370, time: 133.036065817s 
epoch: 10/300, train_loss: 0.4197, train_acc: 0.8250, test_loss: 0.5208, test_acc: 0.7737, time: 133.125218153s 
epoch: 11/300, train_loss: 0.4140, train_acc: 0.8287, test_loss: 0.5034, test_acc: 0.7655, time: 133.011620045s 
epoch: 12/300, train_loss: 0.4078, train_acc: 0.8328, test_loss: 0.4141, test_acc: 0.8203, time: 132.412615061s 
epoch: 13/300, train_loss: 0.4011, train_acc: 0.8374, test_loss: 0.4562, test_acc: 0.7964, time: 133.048437119s 
epoch: 14/300, train_loss: 0.3972, train_acc: 0.8389, test_loss: 0.4449, test_acc: 0.8117, time: 132.056607008s 
epoch: 15/300, train_loss: 0.3920, train_acc: 0.8406, test_loss: 0.4076, test_acc: 0.8246, time: 131.548173904s 
epoch: 16/300, train_loss: 0.3831, train_acc: 0.8434, test_loss: 0.4149, test_acc: 0.8272, time: 132.592406034s 
epoch: 17/300, train_loss: 0.3812, train_acc: 0.8438, test_loss: 0.4488, test_acc: 0.8014, time: 133.037101984s 
epoch: 18/300, train_loss: 0.3773, train_acc: 0.8468, test_loss: 0.4123, test_acc: 0.8172, time: 132.905193806s 
epoch: 19/300, train_loss: 0.3716, train_acc: 0.8499, test_loss: 0.3942, test_acc: 0.8234, time: 131.982033014s 
epoch: 20/300, train_loss: 0.3696, train_acc: 0.8518, test_loss: 0.4091, test_acc: 0.8229, time: 133.60396719s 
epoch: 21/300, train_loss: 0.3637, train_acc: 0.8541, test_loss: 0.3870, test_acc: 0.8350, time: 132.268911123s 
epoch: 22/300, train_loss: 0.3630, train_acc: 0.8543, test_loss: 0.4287, test_acc: 0.8114, time: 132.054172039s 
epoch: 23/300, train_loss: 0.3559, train_acc: 0.8579, test_loss: 0.4065, test_acc: 0.8229, time: 131.519917965s 
epoch: 24/300, train_loss: 0.3524, train_acc: 0.8588, test_loss: 0.5122, test_acc: 0.7803, time: 132.837924957s 
epoch: 1/300, train_loss: 0.3516, train_acc: 0.8611, test_loss: 0.3798, test_acc: 0.8386, time: 278.885121107s 
epoch: 2/300, train_loss: 0.3472, train_acc: 0.8627, test_loss: 0.3592, test_acc: 0.8433, time: 133.876247883s 
epoch: 3/300, train_loss: 0.3428, train_acc: 0.8644, test_loss: 0.3927, test_acc: 0.8351, time: 133.072229147s 
epoch: 4/300, train_loss: 0.3405, train_acc: 0.8666, test_loss: 0.3645, test_acc: 0.8495, time: 133.65029192s 
epoch: 5/300, train_loss: 0.3392, train_acc: 0.8679, test_loss: 0.4081, test_acc: 0.8296, time: 133.442152977s 
epoch: 6/300, train_loss: 0.3357, train_acc: 0.8687, test_loss: 0.3998, test_acc: 0.8288, time: 133.787751913s 
epoch: 7/300, train_loss: 0.3340, train_acc: 0.8705, test_loss: 0.3712, test_acc: 0.8411, time: 132.357446194s 
epoch: 8/300, train_loss: 0.3314, train_acc: 0.8707, test_loss: 0.3413, test_acc: 0.8561, time: 132.729364872s 
epoch: 9/300, train_loss: 0.3293, train_acc: 0.8703, test_loss: 0.3845, test_acc: 0.8342, time: 132.528195858s 
epoch: 10/300, train_loss: 0.3262, train_acc: 0.8750, test_loss: 0.3428, test_acc: 0.8547, time: 132.93644619s 
epoch: 11/300, train_loss: 0.3242, train_acc: 0.8746, test_loss: 0.3302, test_acc: 0.8597, time: 133.467332125s 
epoch: 12/300, train_loss: 0.3204, train_acc: 0.8752, test_loss: 0.3382, test_acc: 0.8566, time: 132.013192892s 
epoch: 13/300, train_loss: 0.3214, train_acc: 0.8761, test_loss: 0.3598, test_acc: 0.8509, time: 132.899080992s 
epoch: 14/300, train_loss: 0.3190, train_acc: 0.8786, test_loss: 0.3153, test_acc: 0.8716, time: 133.036975145s 
epoch: 15/300, train_loss: 0.3169, train_acc: 0.8790, test_loss: 0.3251, test_acc: 0.8618, time: 133.045653105s 
epoch: 16/300, train_loss: 0.3127, train_acc: 0.8798, test_loss: 0.3372, test_acc: 0.8588, time: 132.608206987s 
epoch: 17/300, train_loss: 0.3133, train_acc: 0.8810, test_loss: 0.3236, test_acc: 0.8633, time: 135.191909075s 
epoch: 18/300, train_loss: 0.3111, train_acc: 0.8825, test_loss: 0.3369, test_acc: 0.8618, time: 133.82069397s 
epoch: 19/300, train_loss: 0.3108, train_acc: 0.8824, test_loss: 0.3292, test_acc: 0.8672, time: 132.425795078s 
epoch: 20/300, train_loss: 0.3087, train_acc: 0.8817, test_loss: 0.3267, test_acc: 0.8651, time: 133.959491968s 
epoch: 21/300, train_loss: 0.3051, train_acc: 0.8850, test_loss: 0.3144, test_acc: 0.8733, time: 132.065898895s 
epoch: 22/300, train_loss: 0.3049, train_acc: 0.8839, test_loss: 0.3351, test_acc: 0.8603, time: 132.771963835s 
epoch: 23/300, train_loss: 0.3064, train_acc: 0.8842, test_loss: 0.3186, test_acc: 0.8688, time: 133.332824945s 
epoch: 24/300, train_loss: 0.3025, train_acc: 0.8837, test_loss: 0.3137, test_acc: 0.8675, time: 133.025981903s 
epoch: 25/300, train_loss: 0.3024, train_acc: 0.8877, test_loss: 0.3361, test_acc: 0.8626, time: 133.101005077s 
epoch: 26/300, train_loss: 0.2991, train_acc: 0.8872, test_loss: 0.3162, test_acc: 0.8682, time: 133.605865955s 
epoch: 27/300, train_loss: 0.2982, train_acc: 0.8886, test_loss: 0.3152, test_acc: 0.8638, time: 132.935871124s 
epoch: 28/300, train_loss: 0.2985, train_acc: 0.8881, test_loss: 0.3157, test_acc: 0.8657, time: 133.787013054s 
epoch: 29/300, train_loss: 0.2982, train_acc: 0.8889, test_loss: 0.3071, test_acc: 0.8722, time: 133.223133087s 
epoch: 30/300, train_loss: 0.2943, train_acc: 0.8881, test_loss: 0.3021, test_acc: 0.8745, time: 133.263700962s 
